"","X1","Hora","Zona","N","Temperatura","sd","se","ci","Hum_Rel","HR_sd","HR_se","HR_ci"
"1",11,13,"Dentro",18,32.45,1.07771544863906,0.254019967307394,0.53593528410585,53.7555555555556,1.88717723293196,0.444811939569018,0.938471159308967
"2",12,13,"Fuera",18,38.8,3.46834423964893,0.817496577115019,1.72476701322268,40.1888888888889,5.15202859976635,1.21434478658727,2.56204354760251
"3",19,17,"Dentro",18,28.0277777777778,2.36538905034185,0.557527545880377,1.1762803013696,56.5,4.56804759427147,1.07669914356408,2.2716366257313
"4",20,17,"Fuera",18,31.2277777777778,3.15031381360381,0.742536086821637,1.56661420307968,54.7111111111111,4.65970068325384,1.09830198380946,2.31721463460643
"5",29,21,"Dentro",18,21.2722222222222,0.373859922738538,0.0881196288607662,0.185916165683335,74.3888888888889,1.12348663642352,0.264808339729178,0.558696760300796
"6",30,21,"Fuera",18,22.5111111111111,1.86386344137777,0.439316826201305,0.926877483523805,67.7611111111111,8.42231901060152,1.9851596285709,4.18832070884469
"7",39,5,"Dentro",18,20.2166666666667,0.235771574398013,0.0555718930226211,0.117246445588813,79.7111111111111,0.823828143763927,0.194178155662599,0.409680097691895
"8",40,5,"Fuera",18,20.4611111111111,0.401671344859259,0.0946748439194341,0.19974646053016,77.0388888888889,1.76306514139735,0.415558439051895,0.876751668211785
"9",47,9,"Dentro",18,24.2833333333333,1.35266621246815,0.318826483839385,0.672665082230157,73.2666666666667,2.09817848172563,0.494545410855963,1.04339961176989
"10",48,9,"Fuera",18,27.8277777777778,3.51480993638189,0.828448646865832,1.74787386059246,64.4388888888889,7.32040973530925,1.72543712163373,3.64035411779472
