"","X1","Hora","Zona","N","Temperatura","sd","se","ci","Hum_Rel","HR_sd","HR_se","HR_ci"
"1",11,"05","Dentro",42,19.3285714285714,0.821742857615332,0.126797675737468,0.256073101108557,78.4833333333333,2.99942406395747,0.462821181025549,0.934686337069162
"2",12,"05","Fuera",36,17.825,1.44862003299692,0.241436672166153,0.490142502334887,80.6416666666667,3.42414744342088,0.570691240570146,1.15856481206448
"3",19,"09","Dentro",42,25.5714285714286,2.63469216180116,0.406541826684784,0.821027875187998,66.4357142857143,6.36518048825669,0.982168672451351,1.98352987389952
"4",20,"09","Fuera",36,33.7944444444444,3.77245236224353,0.628742060373922,1.27641424158956,67.55,10.1512138612652,1.69186897687753,3.43467662351988
"5",27,"13","Dentro",42,30.2428571428571,2.83532962398643,0.437500859227865,0.883550909813978,53.0642857142857,6.28264436436277,0.969433072041633,1.95780980708892
"6",28,"13","Fuera",36,41.6833333333333,1.24682453800502,0.207804089667503,0.421864729956843,40.7333333333333,3.69640752236933,0.616067920394888,1.25068436953436
"7",35,"17","Dentro",42,27.6,1.48865629376818,0.229704653070582,0.463897957977063,57.7142857142857,3.50627113643967,0.541029382228033,1.0926310036221
"8",36,"17","Fuera",36,28.25,1.98659795342979,0.331099658904965,0.672168042583954,47.3916666666667,3.29877682958829,0.549796138264715,1.11614549921262
"9",43,"21","Dentro",42,22.047619047619,1.99587844774298,0.307970730603882,0.621959508151303,69.8904761904762,6.02631665701686,0.929880848110056,1.87793247038703
"10",44,"21","Fuera",36,20.6416666666667,0.556712287836878,0.0927853813061464,0.188364338215339,64.8027777777778,3.11406818084008,0.519011363473347,1.05364908383926
