"","Hora","Zona","N","Temperatura","sd","se","ci","Hum_Rel","HR_sd","HR_se","HR_ci"
"1","0","Dentro",18,20.1166666666667,0.624264272846798,0.147140500194153,0.310439319439811,78.4777777777778,0.793025150224689,0.186917820458453,0.394362129377894
"2","0","Fuera",18,20.4333333333333,0.356453115471603,0.0840168050416806,0.177259964076723,77.9888888888889,1.19601735620344,0.28190399432942,0.594765438689645
"3","1","Dentro",18,20.0944444444444,0.695762148525098,0.163992711105006,0.345994376540461,78.9111111111111,0.757619250088442,0.178572569765002,0.376755189463927
"4","1","Fuera",18,20.5944444444444,0.220886508581223,0.0520634493634677,0.10984427650278,77.6722222222222,0.954743917347692,0.225035299417721,0.474782980273892
"5","10","Dentro",18,27.6333333333333,0.869076589057063,0.204843316497575,0.432181620161623,66.05,2.41082119277424,0.568236004546303,1.19887317427755
"6","10","Fuera",18,32.3111111111111,3.23980552954665,0.763629486556036,1.61111738642878,54.7833333333333,6.43119694284408,1.51584765647708,3.19815899925747
"7","11","Dentro",18,29.7722222222222,0.962720138648547,0.226915312807747,0.478749461810704,60.6111111111111,1.81849611068464,0.428623643808824,0.904316840735535
"8","11","Fuera",18,37.5722222222222,5.54010039785387,1.30581418659226,2.75502711262808,45.9444444444444,8.1996572541154,1.93267774926349,4.07759362232794
"9","12","Dentro",18,31.8055555555556,0.785510116924568,0.185146510122667,0.390624991238276,55.7,2.06824733985651,0.487490573061192,1.02851520509139
"10","12","Fuera",18,38.6,4.53366492443573,1.06859507056537,2.2545385262747,41.4,7.38480156250979,1.7406144208559,3.67237542012308
"11","13","Dentro",18,32.45,1.07771544863906,0.254019967307394,0.53593528410585,53.7555555555556,1.88717723293196,0.444811939569018,0.938471159308967
"12","13","Fuera",18,38.8,3.46834423964893,0.817496577115019,1.72476701322268,40.1888888888889,5.15202859976635,1.21434478658727,2.56204354760251
"13","14","Dentro",18,34.2166666666667,1.41556473868621,0.333651808644528,0.703943783450486,50.5111111111111,1.26903802793292,0.299115131711656,0.631077764450917
