"","(Intercept)","T_suelo"
"1",-0.0531804373291815,0.000750078451370701
"2",0.0155872535090573,0.00029466759287027
"3",-0.225263086227983,0.0031339468515966
"4",-0.367707075280056,4.94368707020137e-06
"5",-0.473331411044619,0.0122445534302099
"6",-2.01545701776905,0.0562567740644131
"7",-0.341833714032822,0.00821317204897686
"8",-0.0675575168400147,-0.00170828887668972
"9",-0.671772064014498,0.0131602708353696
"10",-1.02514156528343,0.027015864399262
"11",-0.0149394163905437,0.00163240693204193
"12",-0.0652598602102671,0.00404672050670252
"13",-0.452138891988055,0.0130827509216137
"14",-0.24821317115718,0.00663768340633807
"15",-0.0268547182589763,-0.0013458052194861
"16",-0.00734167478835292,0.00041031322469425
"17",-0.11344003475777,0.00445971934821287
"18",-0.290133426134071,0.00874562380950199
"19",-0.299255136133557,0.00353446607772784
"20",-0.0579859553518275,0.00525472556024295
"21",-0.294836417192538,-0.00428509419093445
"22",0.683876360046028,-0.0421606139651302
"23",-0.029913915277512,-0.0183926242767987
"24",1.51212496913559,-0.0711084984097458
"25",-0.190742398038641,-0.00211887656127411
"26",-0.10553066145776,-0.00986752341715981
"27",-0.0838759057227839,-0.0181864384195183
"28",-0.15314826510265,-0.00782365031740042
"29",NA,NA
"30",0.294854451669427,-0.0263336540249184
